"t_id" "chromosome" "g_start_coord_ref" "g_end_coord_ref" "strand_mane" "u_id" "u_id2" "aug_start" "aug_end" "cadd_start" "stop" "stop_end" "cadd_stop"
"1281" "ENST00000260361.9" "15" 41397096 41402146 "-" 1281 "uORF" 41402144 41402146 0.658268333333335 41397096 41397098 0.0621974444444447
"1282" "ENST00000260402.8" "15" 40307811 40307912 "-" 1282 "uORF" 40307910 40307912 0.560210777777778 40307811 40307813 1.40829822222222
"1283" "ENST00000260402.8" "15" 40307801 40307869 "-" 1283 "uORF" 40307867 40307869 1.61877033333333 40307801 40307803 1.30533344444445
"1284" "ENST00000260402.8" "15" 40307766 40307780 "-" 1284 "uORF" 40307778 40307780 0.710655666666667 40307766 40307768 1.38640266666667
"1285" "ENST00000260408.8" "15" 58749574 58749588 "-" 1285 "uORF" 58749586 58749588 2.30003222222222 58749574 58749576 2.32017922222222
"1286" "ENST00000260502.11" "1" 93681656 93681724 "-" 1286 "uORF" 93681722 93681724 1.64858888888889 93681656 93681658 1.02302388888889
"1287" "ENST00000260505.13" "1" 83952288 83952329 "-" 1287 "uORF" 83952327 83952329 1.76550444444444 83952288 83952290 1.68915733333333
"1288" "ENST00000260505.13" "1" 83952260 83952283 "-" 1288 "uORF" 83952281 83952283 1.33180244444444 83952260 83952262 1.46485322222222
"1289" "ENST00000260526.11" "1" 94237461 94237505 "-" 1289 "uORF" 94237503 94237505 2.05033933333333 94237461 94237463 1.06742211111111
"1290" "ENST00000260526.11" "1" 94231627 94237427 "-" 1290 "uORF" 94237425 94237427 2.07591877777778 94231627 94231629 1.77945111111111
"1292" "ENST00000260643.7" "2" 27134486 27134578 "-" 1292 "uORF" 27134576 27134578 0.97330788888889 27134486 27134488 0.77386588888889
"1293" "ENST00000260643.7" "2" 27134438 27134467 "-" 1293 "uORF" 27134465 27134467 2.16344322222222 27134438 27134440 2.40300533333333
"1299" "ENST00000260743.10" "10" 103451247 103452185 "-" 1299 "uORF" 103452183 103452185 0.317835444444445 103451247 103451249 0.614243333333333
"1300" "ENST00000260743.10" "10" 103451219 103451239 "-" 1300 "uORF" 103451237 103451239 0.504532777777778 103451219 103451221 0.205577888888889
"1301" "ENST00000260743.10" "10" 103450069 103451096 "-" 1301 "uORF" 103451094 103451096 0.657803666666668 103450069 103450071 0.386959
"1303" "ENST00000260843.5" "3" 151316679 151316729 "-" 1303 "uORF" 151316727 151316729 1.28097622222222 151316679 151316681 0.787364888888889
"1304" "ENST00000260843.5" "3" 151316660 151316716 "-" 1304 "uORF" 151316714 151316716 0.462074222222222 151316660 151316662 0.559689555555555
"1305" "ENST00000260843.5" "3" 151316613 151316621 "-" 1305 "uORF" 151316619 151316621 0.99099711111111 151316613 151316615 1.78591688888889
"1306" "ENST00000260843.5" "3" 151316589 151316612 "-" 1306 "uORF" 151316610 151316612 1.829728 151316589 151316591 1.972702
"1307" "ENST00000260843.5" "3" 151300137 151316592 "-" 1307 "uORF" 151316590 151316592 1.87469322222222 151300137 151300139 1.92007788888889
"1308" "ENST00000260950.5" "2" 190062683 190062691 "-" 1308 "uORF" 190062689 190062691 1.80484333333333 190062683 190062685 1.40360188888889
"1315" "ENST00000261047.8" "3" 108953829 108953858 "-" 1315 "uORF" 108953856 108953858 0.899196444444445 108953829 108953831 0.592833222222222
"1318" "ENST00000261167.7" "12" 14803427 14803465 "-" 1318 "uORF" 14803463 14803465 2.53334133333333 14803427 14803429 1.75333877777778
"1319" "ENST00000261167.7" "12" 14801402 14801413 "-" 1319 "uORF" 14801411 14801413 0.962734333333333 14801402 14801404 1.45665588888889
"1320" "ENST00000261170.5" "12" 14696540 14696587 "-" 1320 "uORF" 14696585 14696587 1.21575977777778 14696540 14696542 0.434399777777778
"1321" "ENST00000261170.5" "12" 14696457 14696471 "-" 1321 "uORF" 14696469 14696471 1.46477811111111 14696457 14696459 0.242160555555556
"1323" "ENST00000261183.8" "12" 76559703 76559750 "-" 1323 "uORF" 76559748 76559750 2.42043833333333 76559703 76559705 0.930716555555557
"1324" "ENST00000261183.8" "12" 76487586 76487600 "-" 1324 "uORF" 76487598 76487600 1.34037955555556 76487586 76487588 1.31193444444444
"1325" "ENST00000261183.8" "12" 76487569 76487586 "-" 1325 "uORF" 76487584 76487586 1.27908133333333 76487569 76487571 1.82058055555556
"1326" "ENST00000261191.12" "12" 26937881 26937940 "-" 1326 "uORF" 26937938 26937940 2.26104644444445 26937881 26937883 2.15667888888889
"1327" "ENST00000261195.3" "12" 21604632 21604736 "-" 1327 "uORF" 21604734 21604736 -0.182682 21604632 21604634 0.266422333333333
"1328" "ENST00000261200.9" "12" 21941288 21941404 "-" 1328 "uORF" 21941402 21941404 1.204038 21941288 21941290 2.37106888888889
"1329" "ENST00000261208.8" "12" 95996305 95996328 "-" 1329 "uORF" 95996326 95996328 1.23612688888889 95996305 95996307 0.657451222222222
"1330" "ENST00000261208.8" "12" 95996252 95996305 "-" 1330 "uORF" 95996303 95996305 0.921328777777777 95996252 95996254 0.632109444444445
"1331" "ENST00000261208.8" "12" 95995974 95996158 "-" 1331 "uORF" 95996156 95996158 0.261680666666667 95995974 95995976 0.355938777777778
"1332" "ENST00000261211.8" "12" 96400193 96400222 "-" 1332 "uORF" 96400220 96400222 2.30628244444444 96400193 96400195 2.29140788888889
"1334" "ENST00000261275.5" "15" 29570787 29570930 "-" 1334 "uORF" 29570928 29570930 1.35283222222222 29570787 29570789 1.66048333333333
"1335" "ENST00000261318.5" "12" 116737973 116737993 "-" 1335 "uORF" 116737991 116737993 1.05061344444444 116737973 116737975 1.54022777777778
"1337" "ENST00000261349.9" "12" 12266879 12267010 "-" 1337 "uORF" 12267008 12267010 2.23482144444444 12266879 12266881 2.21561411111111
"1338" "ENST00000261349.9" "12" 12266911 12266961 "-" 1338 "uORF" 12266959 12266961 2.26083566666667 12266911 12266913 1.88593822222222
"1339" "ENST00000261349.9" "12" 12266760 12266837 "-" 1339 "uORF" 12266835 12266837 2.15087844444444 12266760 12266762 2.33444911111111
"1343" "ENST00000261402.7" "12" 106138804 106138830 "-" 1343 "uORF" 106138828 106138830 1.82444566666667 106138804 106138806 1.88223411111111
"1344" "ENST00000261402.7" "12" 106138745 106138765 "-" 1344 "uORF" 106138763 106138765 1.60772088888889 106138745 106138747 2.031682
"1345" "ENST00000261405.10" "12" 6124566 6124628 "-" 1345 "uORF" 6124626 6124628 1.671697 6124566 6124568 0.456879777777778
"1346" "ENST00000261405.10" "12" 6124499 6124507 "-" 1346 "uORF" 6124505 6124507 1.82926055555556 6124499 6124501 1.79723755555556
"1356" "ENST00000261486.6" "5" 112419106 112419120 "-" 1356 "uORF" 112419118 112419120 1.61851011111111 112419106 112419108 1.46251566666667
"1357" "ENST00000261520.9" "15" 60479004 60479099 "-" 1357 "uORF" 60479097 60479099 0.883996777777779 60479004 60479006 2.30533533333333
"1358" "ENST00000261520.9" "15" 60478066 60479007 "-" 1358 "uORF" 60479005 60479007 1.70434255555556 60478066 60478068 0.818407
"1366" "ENST00000261592.10" "18" 34224460 34224510 "-" 1366 "uORF" 34224508 34224510 2.01636411111111 34224460 34224462 1.98612788888889
"1367" "ENST00000261592.10" "18" 34224444 34224476 "-" 1367 "uORF" 34224474 34224476 1.62607466666667 34224444 34224446 1.72702533333333
"1368" "ENST00000261592.10" "18" 34224422 34224472 "-" 1368 "uORF" 34224470 34224472 1.99263566666667 34224422 34224424 1.90144122222222
"1369" "ENST00000261592.10" "18" 34224370 34224459 "-" 1369 "uORF" 34224457 34224459 2.05322633333333 34224370 34224372 2.09167477777778
"1370" "ENST00000261592.10" "18" 34224329 34224373 "-" 1370 "uORF" 34224371 34224373 1.93346544444445 34224329 34224331 2.01682477777778
"1371" "ENST00000261592.10" "18" 34224276 34224299 "-" 1371 "uORF" 34224297 34224299 0.159152555555556 34224276 34224278 0.664994222222222
"1372" "ENST00000261592.10" "18" 34224054 34224230 "-" 1372 "uORF" 34224228 34224230 1.56493588888889 34224054 34224056 1.498956
"1373" "ENST00000261592.10" "18" 34224054 34224083 "-" 1373 "uORF" 34224081 34224083 1.08062366666667 34224054 34224056 1.498956
"1374" "ENST00000261592.10" "18" 34224054 34224065 "-" 1374 "uORF" 34224063 34224065 0.75087 34224054 34224056 1.498956
"1375" "ENST00000261592.10" "18" 34223984 34224001 "-" 1375 "uORF" 34223999 34224001 0.77813211111111 34223984 34223986 0.829013111111111
"1376" "ENST00000261592.10" "18" 34223976 34223987 "-" 1376 "uORF" 34223985 34223987 1.09546122222222 34223976 34223978 1.11939422222222
"1377" "ENST00000261592.10" "18" 34223878 34223913 "-" 1377 "uORF" 34223911 34223913 1.73224311111111 34223878 34223880 0.689500666666667
"1378" "ENST00000261592.10" "18" 34223591 34223602 "-" 1378 "uORF" 34223600 34223602 1.57902811111111 34223591 34223593 1.98833688888889
"1379" "ENST00000261592.10" "18" 34223510 34223560 "-" 1379 "uORF" 34223558 34223560 1.44294988888889 34223510 34223512 0.688967
"1380" "ENST00000261592.10" "18" 34223526 34223549 "-" 1380 "uORF" 34223547 34223549 2.15383022222222 34223526 34223528 1.64410244444444
"1381" "ENST00000261592.10" "18" 34223451 34223468 "-" 1381 "uORF" 34223466 34223468 1.82389 34223451 34223453 1.892508
"1382" "ENST00000261592.10" "18" 34223306 34223320 "-" 1382 "uORF" 34223318 34223320 2.16049511111111 34223306 34223308 2.36922077777778
"1398" "ENST00000261721.9" "15" 83067176 83067199 "-" 1398 "uORF" 83067197 83067199 1.24758433333333 83067176 83067178 0.785051444444444
"1399" "ENST00000261731.4" "12" 113471843 113471863 "-" 1399 "uORF" 113471861 113471863 2.11056733333334 113471843 113471845 2.19711555555555
"1400" "ENST00000261731.4" "12" 113471709 113471720 "-" 1400 "uORF" 113471718 113471720 1.67177877777778 113471709 113471711 1.74009766666667
"1401" "ENST00000261741.10" "12" 113966287 113966313 "-" 1401 "uORF" 113966311 113966313 1.72509111111111 113966287 113966289 1.85417477777778
"1405" "ENST00000261776.10" "16" 70801129 70801146 "-" 1405 "uORF" 70801144 70801146 1.821801 70801129 70801131 1.06754922222222
"1406" "ENST00000261776.10" "16" 70800930 70801004 "-" 1406 "uORF" 70801002 70801004 2.15711655555555 70800930 70800932 2.23471411111111
"1410" "ENST00000261799.9" "5" 150155630 150155644 "-" 1410 "uORF" 150155642 150155644 2.04100466666667 150155630 150155632 1.79237044444444
"1412" "ENST00000261839.12" "15" 52295739 52295753 "-" 1412 "uORF" 52295751 52295753 1.34833044444444 52295739 52295741 1.41764577777778
"1432" "ENST00000261867.5" "15" 45522415 45522636 "-" 1432 "uORF" 45522634 45522636 1.17892033333333 45522415 45522417 1.63996044444445
"1433" "ENST00000261867.5" "15" 45522420 45522467 "-" 1433 "uORF" 45522465 45522467 2.07093444444444 45522420 45522422 2.11973366666667
"1437" "ENST00000261917.4" "15" 73368845 73368943 "-" 1437 "uORF" 73368941 73368943 2.20280077777778 73368845 73368847 2.03895344444444
"1438" "ENST00000261917.4" "15" 73368850 73368915 "-" 1438 "uORF" 73368913 73368915 2.13395033333333 73368850 73368852 2.07162533333334
"1439" "ENST00000261917.4" "15" 73368397 73368408 "-" 1439 "uORF" 73368406 73368408 1.41323855555556 73368397 73368399 1.39669411111111
"1444" "ENST00000261965.8" "13" 112588094 112588129 "-" 1444 "uORF" 112588127 112588129 2.47375744444444 112588094 112588096 1.28779677777778
"1446" "ENST00000262052.9" "12" 51026311 51026361 "-" 1446 "uORF" 51026359 51026361 1.41592566666667 51026311 51026313 1.60259155555555
"1456" "ENST00000262150.7" "18" 66604052 66604087 "-" 1456 "uORF" 66604085 66604087 0.11759 66604052 66604054 0.683994444444442
"1457" "ENST00000262150.7" "18" 66603964 66604017 "-" 1457 "uORF" 66604015 66604017 0.138373888888889 66603964 66603966 0.550013777777778
"1458" "ENST00000262158.8" "18" 48950462 48950476 "-" 1458 "uORF" 48950474 48950476 1.58549744444444 48950462 48950464 1.46439966666667
"1459" "ENST00000262178.7" "7" 159144779 159144850 "-" 1459 "uORF" 159144848 159144850 0.912349222222221 159144779 159144781 1.03437866666667
"1460" "ENST00000262187.10" "7" 151519815 151519886 "-" 1460 "uORF" 151519884 151519886 2.15386044444444 151519815 151519817 2.16916522222222
"1461" "ENST00000262187.10" "7" 151519545 151519610 "-" 1461 "uORF" 151519608 151519610 2.08593311111111 151519545 151519547 2.10752355555556
"1462" "ENST00000262187.10" "7" 151519525 151519545 "-" 1462 "uORF" 151519543 151519545 2.16493544444444 151519525 151519527 2.10869977777778
"1463" "ENST00000262189.11" "7" 152435892 152435984 "-" 1463 "uORF" 152435982 152435984 1.800942 152435892 152435894 1.98202111111111
"1464" "ENST00000262189.11" "7" 152435892 152435954 "-" 1464 "uORF" 152435952 152435954 2.03424633333333 152435892 152435894 1.98202111111111
"1465" "ENST00000262189.11" "7" 152435792 152435905 "-" 1465 "uORF" 152435903 152435905 1.97391411111111 152435792 152435794 1.99869388888889
"1466" "ENST00000262189.11" "7" 152435792 152435809 "-" 1466 "uORF" 152435807 152435809 2.01198022222222 152435792 152435794 1.99869388888889
"1467" "ENST00000262213.7" "8" 70608393 70608416 "-" 1467 "uORF" 70608414 70608416 1.48363611111111 70608393 70608395 0.589269777777778
"1468" "ENST00000262213.7" "8" 70608259 70608336 "-" 1468 "uORF" 70608334 70608336 2.26638266666667 70608259 70608261 2.65706255555556
"1469" "ENST00000262215.8" "8" 67343742 67343768 "-" 1469 "uORF" 67343766 67343768 2.12314055555555 67343742 67343744 1.86812511111111
"1470" "ENST00000262215.8" "8" 67343665 67343742 "-" 1470 "uORF" 67343740 67343742 1.868852 67343665 67343667 0.916793555555556
"1472" "ENST00000262244.6" "9" 27529604 27529777 "-" 1472 "uORF" 27529775 27529777 1.39226811111111 27529604 27529606 1.70840011111111
"1473" "ENST00000262244.6" "9" 27455690 27455740 "-" 1473 "uORF" 27455738 27455740 1.89638933333333 27455690 27455692 1.29092822222222
"1474" "ENST00000262244.6" "9" 27455690 27455707 "-" 1474 "uORF" 27455705 27455707 1.37807433333333 27455690 27455692 1.29092822222222
"1477" "ENST00000262265.10" "19" 49451693 49451746 "-" 1477 "uORF" 49451744 49451746 0.584042111111111 49451693 49451695 0.593854222222223
"1478" "ENST00000262265.10" "19" 49451718 49451729 "-" 1478 "uORF" 49451727 49451729 1.099446 49451718 49451720 0.953838000000001
"1480" "ENST00000262294.12" "17" 59106634 59106651 "-" 1480 "uORF" 59106649 59106651 2.25294033333334 59106634 59106636 2.10840633333333
"1481" "ENST00000262294.12" "17" 59106575 59106643 "-" 1481 "uORF" 59106641 59106643 2.07664733333333 59106575 59106577 1.93870722222222
"1482" "ENST00000262294.12" "17" 59106575 59106613 "-" 1482 "uORF" 59106611 59106613 1.66589144444445 59106575 59106577 1.93870722222222
"1483" "ENST00000262300.13" "16" 2979812 2979829 "-" 1483 "uORF" 2979827 2979829 1.11666144444444 2979812 2979814 1.97744377777778
"1484" "ENST00000262304.9" "16" 2135753 2135776 "-" 1484 "uORF" 2135774 2135776 1.25676377777778 2135753 2135755 1.20769744444445
"1485" "ENST00000262304.9" "16" 2135692 2135709 "-" 1485 "uORF" 2135707 2135709 1.80596677777778 2135692 2135694 1.80565033333333
"1489" "ENST00000262320.8" "16" 352439 352495 "-" 1489 "uORF" 352493 352495 1.05610422222222 352439 352441 1.27436888888889
"1490" "ENST00000262320.8" "16" 347064 347072 "-" 1490 "uORF" 347070 347072 1.80339277777778 347064 347066 1.73370133333333
"1491" "ENST00000262367.10" "16" 3880278 3880298 "-" 1491 "uORF" 3880296 3880298 1.292201 3880278 3880280 1.27994222222222
"1492" "ENST00000262367.10" "16" 3880124 3880174 "-" 1492 "uORF" 3880172 3880174 1.43822422222222 3880124 3880126 1.782955
"1497" "ENST00000262384.4" "16" 48610124 48610132 "-" 1497 "uORF" 48610130 48610132 1.58423966666666 48610124 48610126 1.32551166666667
"1498" "ENST00000262435.14" "17" 64661946 64662035 "-" 1498 "uORF" 64662033 64662035 2.14274022222222 64661946 64661948 1.951172
"1502" "ENST00000262464.9" "5" 128537812 128537877 "-" 1502 "uORF" 128537875 128537877 1.77864144444445 128537812 128537814 1.71533355555556
"1516" "ENST00000262644.9" "8" 56993689 56993727 "-" 1516 "uORF" 56993725 56993727 1.81848322222222 56993689 56993691 1.62552222222222
"1517" "ENST00000262713.7" "14" 22982389 22982466 "-" 1517 "uORF" 22982464 22982466 1.86482255555555 22982389 22982391 1.00641944444444
"1518" "ENST00000262726.12" "22" 43812193 43812255 "-" 1518 "uORF" 43812253 43812255 0.686414111111111 43812193 43812195 1.51306744444445
"1519" "ENST00000262726.12" "22" 43809070 43809090 "-" 1519 "uORF" 43809088 43809090 -0.0147277777777778 43809070 43809072 -0.142557111111111
"1520" "ENST00000262726.12" "22" 43809014 43809070 "-" 1520 "uORF" 43809068 43809070 -0.202416888888889 43809014 43809016 0.444979666666667
"1521" "ENST00000262726.12" "22" 43809014 43809046 "-" 1521 "uORF" 43809044 43809046 0.124526222222222 43809014 43809016 0.444979666666667
"1522" "ENST00000262741.10" "1" 46131960 46131995 "-" 1522 "uORF" 46131993 46131995 1.79972655555556 46131960 46131962 2.295425
"1523" "ENST00000262752.5" "X" 84188058 84188108 "-" 1523 "uORF" 84188106 84188108 0.830897444444444 84188058 84188060 1.04713233333333
"1524" "ENST00000262752.5" "X" 84187907 84187957 "-" 1524 "uORF" 84187955 84187957 1.499365 84187907 84187909 1.29285155555556
"1525" "ENST00000262839.3" "X" 112082276 112082425 "-" 1525 "uORF" 112082423 112082425 1.00786822222222 112082276 112082278 0.333779222222222
"1528" "ENST00000262848.6" "X" 3713351 3713575 "-" 1528 "uORF" 3713573 3713575 0.648111333333333 3713351 3713353 1.12141533333333
"1529" "ENST00000262848.6" "X" 3713351 3713368 "-" 1529 "uORF" 3713366 3713368 0.996818111111113 3713351 3713353 1.12141533333333
"1530" "ENST00000262854.11" "X" 53680170 53686276 "-" 1530 "uORF" 53686274 53686276 2.10761711111111 53680170 53680172 1.43734988888889
"1531" "ENST00000262854.11" "X" 53654125 53680074 "-" 1531 "uORF" 53680072 53680074 2.22626411111111 53654125 53654127 1.84396433333333
"1532" "ENST00000262854.11" "X" 53654125 53680068 "-" 1532 "uORF" 53680066 53680068 1.83665955555555 53654125 53654127 1.84396433333333
"1533" "ENST00000262866.9" "20" 36646031 36646069 "-" 1533 "uORF" 36646067 36646069 -0.0417165555555554 36646031 36646033 0.363321666666667
"1534" "ENST00000262866.9" "20" 36645982 36646020 "-" 1534 "uORF" 36646018 36646020 0.232633111111111 36645982 36645984 0.824939555555556
"1535" "ENST00000262866.9" "20" 36645847 36645882 "-" 1535 "uORF" 36645880 36645882 0.707433 36645847 36645849 0.584217888888889
"1536" "ENST00000262866.9" "20" 36641354 36645847 "-" 1536 "uORF" 36645845 36645847 0.680377444444444 36641354 36641356 0.569389
"1537" "ENST00000262866.9" "20" 36641354 36641368 "-" 1537 "uORF" 36641366 36641368 -0.342908666666666 36641354 36641356 0.569389
"1538" "ENST00000262866.9" "20" 36641354 36641365 "-" 1538 "uORF" 36641363 36641365 0.547546555555555 36641354 36641356 0.569389
"1550" "ENST00000262948.10" "19" 4123908 4123922 "-" 1550 "uORF" 4123920 4123922 2.11540522222222 4123908 4123910 2.03327044444445
"1552" "ENST00000262960.14" "19" 4723728 4723745 "-" 1552 "uORF" 4723743 4723745 2.39646388888889 4723728 4723730 2.06663688888889
"1553" "ENST00000262960.14" "19" 4722502 4722525 "-" 1553 "uORF" 4722523 4722525 2.09859355555555 4722502 4722504 1.97448344444444
"1554" "ENST00000262963.11" "19" 5286219 5340725 "-" 1554 "uORF" 5340723 5340725 1.82898644444445 5286219 5286221 1.92824422222222
"1555" "ENST00000262965.12" "19" 1652587 1652610 "-" 1555 "uORF" 1652608 1652610 1.69757644444445 1652587 1652589 1.62273922222222
"1556" "ENST00000262965.12" "19" 1652561 1652590 "-" 1556 "uORF" 1652588 1652590 1.64238611111111 1652561 1652563 1.33734622222222
"1557" "ENST00000262965.12" "19" 1650273 1652347 "-" 1557 "uORF" 1652345 1652347 1.50358822222222 1650273 1650275 0.725490555555556
"1558" "ENST00000262992.9" "4" 142462719 142725890 "-" 1558 "uORF" 142725888 142725890 1.41692866666667 142462719 142462721 1.35807888888889
"1559" "ENST00000262992.9" "4" 142725845 142725856 "-" 1559 "uORF" 142725854 142725856 1.28366144444445 142725845 142725847 0.881557111111111
"1560" "ENST00000263054.11" "10" 107164614 107164631 "-" 1560 "uORF" 107164629 107164631 1.9561 107164614 107164616 1.62978966666667
"1565" "ENST00000263092.11" "17" 2511821 2511883 "-" 1565 "uORF" 2511881 2511883 2.30527711111111 2511821 2511823 1.05187677777778
"1566" "ENST00000263092.11" "17" 2511821 2511835 "-" 1566 "uORF" 2511833 2511835 0.857235777777779 2511821 2511823 1.05187677777778
"1576" "ENST00000263196.12" "22" 19122207 19122221 "-" 1576 "uORF" 19122219 19122221 2.362927 19122207 19122209 2.44744355555555
"1577" "ENST00000263208.5" "22" 19431603 19431695 "-" 1577 "uORF" 19431693 19431695 2.39265366666667 19431603 19431605 2.21680966666667
"1578" "ENST00000263208.5" "22" 19431603 19431620 "-" 1578 "uORF" 19431618 19431620 1.99953155555556 19431603 19431605 2.21680966666667
"1579" "ENST00000263208.5" "22" 19431522 19431539 "-" 1579 "uORF" 19431537 19431539 2.34810977777778 19431522 19431524 2.329909
"1582" "ENST00000263265.11" "19" 48868430 48868480 "-" 1582 "uORF" 48868478 48868480 0.397523888888889 48868430 48868432 0.536764333333333
"1583" "ENST00000263265.11" "19" 48868414 48868446 "-" 1583 "uORF" 48868444 48868446 0.0142245555555557 48868414 48868416 0.167678444444444
"1584" "ENST00000263265.11" "19" 48868275 48868352 "-" 1584 "uORF" 48868350 48868352 0.246368333333334 48868275 48868277 -0.196283555555555
"1585" "ENST00000263265.11" "19" 48868168 48868185 "-" 1585 "uORF" 48868183 48868185 0.398400111111111 48868168 48868170 0.370174
"1586" "ENST00000263266.4" "19" 48614790 48614828 "-" 1586 "uORF" 48614826 48614828 0.501420333333333 48614790 48614792 -0.345528222222222
"1587" "ENST00000263266.4" "19" 48614500 48614577 "-" 1587 "uORF" 48614575 48614577 0.448708666666667 48614500 48614502 0.185042777777778
"1588" "ENST00000263266.4" "19" 48614244 48614276 "-" 1588 "uORF" 48614274 48614276 0.211713555555556 48614244 48614246 -0.154895888888889
"1589" "ENST00000263266.4" "19" 48614155 48614241 "-" 1589 "uORF" 48614239 48614241 -0.0277944444444442 48614155 48614157 0.0311794444444446
"1590" "ENST00000263266.4" "19" 48613988 48614059 "-" 1590 "uORF" 48614057 48614059 0.243805111111111 48613988 48613990 -0.203633555555555
"1591" "ENST00000263266.4" "19" 48613872 48614012 "-" 1591 "uORF" 48614010 48614012 0.00378422222222212 48613872 48613874 0.217284444444445
"1592" "ENST00000263266.4" "19" 48613819 48613839 "-" 1592 "uORF" 48613837 48613839 0.229311333333333 48613819 48613821 0.661852555555556
"1593" "ENST00000263266.4" "19" 48613728 48613739 "-" 1593 "uORF" 48613737 48613739 0.139062888888889 48613728 48613730 0.405778777777778
"1594" "ENST00000263266.4" "19" 48613687 48613728 "-" 1594 "uORF" 48613726 48613728 0.307207666666667 48613687 48613689 1.00115277777778
"1595" "ENST00000263266.4" "19" 48613606 48613641 "-" 1595 "uORF" 48613639 48613641 0.389184555555556 48613606 48613608 0.432868777777778
"1596" "ENST00000263266.4" "19" 48613478 48613588 "-" 1596 "uORF" 48613586 48613588 -0.420974222222222 48613478 48613480 0.423947444444444
"1597" "ENST00000263266.4" "19" 48613478 48613489 "-" 1597 "uORF" 48613487 48613489 0.326038222222222 48613478 48613480 0.423947444444444
"1599" "ENST00000263274.12" "19" 48165574 48170328 "-" 1599 "uORF" 48170326 48170328 2.00372177777778 48165574 48165576 0.355405555555556
"1601" "ENST00000263383.8" "19" 15125658 15125786 "-" 1601 "uORF" 15125784 15125786 0.755974333333331 15125658 15125660 2.28663544444444
"1602" "ENST00000263390.8" "19" 16628014 16628046 "-" 1602 "uORF" 16628044 16628046 2.37683577777778 16628014 16628016 2.31244077777778
"1676" "ENST00000263629.9" "2" 55268624 55268647 "-" 1676 "uORF" 55268645 55268647 1.39039811111111 55268624 55268626 0.835837444444444
"1677" "ENST00000263629.9" "2" 55267593 55268591 "-" 1677 "uORF" 55268589 55268591 0.533131666666667 55267593 55267595 0.424438444444444
"1678" "ENST00000263629.9" "2" 55267601 55267624 "-" 1678 "uORF" 55267622 55267624 0.845782777777778 55267601 55267603 0.519171777777778
"1679" "ENST00000263655.4" "2" 68319764 68319802 "-" 1679 "uORF" 68319800 68319802 1.34499455555556 68319764 68319766 2.39597722222222
"1680" "ENST00000263655.4" "2" 68319533 68319661 "-" 1680 "uORF" 68319659 68319661 2.01142222222222 68319533 68319535 2.27313566666667
"1691" "ENST00000263800.11" "15" 41513769 41513786 "-" 1691 "uORF" 41513784 41513786 0.589678555555556 41513769 41513771 0.623339333333334
"1692" "ENST00000263847.6" "11" 59615742 59615750 "-" 1692 "uORF" 59615748 59615750 1.773444 59615742 59615744 1.39513666666667
"1693" "ENST00000263851.9" "8" 78805388 78805429 "-" 1693 "uORF" 78805427 78805429 0.761384444444445 78805388 78805390 0.260175777777778
"1694" "ENST00000263851.9" "8" 78805230 78805247 "-" 1694 "uORF" 78805245 78805247 0.772149333333333 78805230 78805232 0.757224777777779
"1695" "ENST00000263851.9" "8" 78805183 78805236 "-" 1695 "uORF" 78805234 78805236 0.199834111111111 78805183 78805185 2.39304533333333
"1696" "ENST00000263851.9" "8" 78805183 78805230 "-" 1696 "uORF" 78805228 78805230 0.948593555555557 78805183 78805185 2.39304533333333
"1697" "ENST00000263851.9" "8" 78805119 78805151 "-" 1697 "uORF" 78805149 78805151 2.23437577777778 78805119 78805121 1.86900011111111
"1698" "ENST00000263851.9" "8" 78804979 78805098 "-" 1698 "uORF" 78805096 78805098 2.33051144444445 78804979 78804981 2.190874
"1699" "ENST00000263851.9" "8" 78805068 78805094 "-" 1699 "uORF" 78805092 78805094 2.37178655555556 78805068 78805070 1.85311733333333
"1700" "ENST00000263851.9" "8" 78804945 78804989 "-" 1700 "uORF" 78804987 78804989 2.26788588888889 78804945 78804947 2.26556855555555
"1701" "ENST00000263881.8" "2" 39437219 39437278 "-" 1701 "uORF" 39437276 39437278 1.98553044444445 39437219 39437221 1.87352622222222
"1703" "ENST00000263921.8" "4" 54064503 54064532 "-" 1703 "uORF" 54064530 54064532 2.238338 54064503 54064505 2.114984
"1704" "ENST00000263921.8" "4" 54064450 54064503 "-" 1704 "uORF" 54064501 54064503 1.79954111111111 54064450 54064452 1.670138
"1705" "ENST00000263921.8" "4" 54064450 54064497 "-" 1705 "uORF" 54064495 54064497 2.09563655555556 54064450 54064452 1.670138
"1706" "ENST00000263923.5" "4" 55125358 55125564 "-" 1706 "uORF" 55125562 55125564 0.786759555555556 55125358 55125360 0.748872222222222
"1707" "ENST00000263925.8" "4" 53591392 53591442 "-" 1707 "uORF" 53591440 53591442 0.512257111111111 53591392 53591394 0.207231777777778
"1708" "ENST00000263925.8" "4" 53574063 53574080 "-" 1708 "uORF" 53574078 53574080 1.34128977777778 53574063 53574065 1.50100544444444
"1710" "ENST00000263980.8" "1" 27154456 27154473 "-" 1710 "uORF" 27154471 27154473 0.397800222222222 27154456 27154458 0.586990888888889
"1711" "ENST00000263980.8" "1" 27154456 27154467 "-" 1711 "uORF" 27154465 27154467 0.723478111111111 27154456 27154458 0.586990888888889
"1712" "ENST00000263980.8" "1" 27154438 27154452 "-" 1712 "uORF" 27154450 27154452 1.85471633333333 27154438 27154440 1.86124988888889
