"chr" "start" "end" "strand" "transcript_id" "exon_number"
"5769" "19" 13150411 13150552 "+" "ENST00000292433.4" 1
"5770" "7" 100049774 100049841 "+" "ENST00000292450.9" 1
"5771" "7" 100056911 100057006 "+" "ENST00000292450.9" 2
"5772" "7" 99466142 99466167 "-" "ENST00000292475.8" 1
"5773" "7" 99438943 99439082 "+" "ENST00000292476.10" 1
"5774" "7" 99435243 99435268 "-" "ENST00000292478.9" 2
"5775" "7" 99438692 99438798 "-" "ENST00000292478.9" 1
"5776" "8" 143020883 143020939 "+" "ENST00000292494.11" 2
"5777" "8" 143018529 143018586 "+" "ENST00000292494.11" 1
"5778" "8" 144426946 144426979 "-" "ENST00000292510.6" 2
"5779" "8" 144428489 144428548 "-" "ENST00000292510.6" 1
"5780" "19" 14475262 14475354 "-" "ENST00000292513.4" 1
"5781" "19" 14474321 14474337 "-" "ENST00000292513.4" 2
"5782" "8" 144517992 144518041 "+" "ENST00000292524.6" 1
"5783" "8" 144519615 144519725 "+" "ENST00000292524.6" 2
"5784" "19" 14690048 14690150 "+" "ENST00000292530.11" 1
"5785" "19" 14693451 14693491 "+" "ENST00000292530.11" 2
"5786" "7" 101817626 101817639 "+" "ENST00000292535.12" 1
"5787" "8" 144755405 144755531 "-" "ENST00000292562.12" 1
"5788" "8" 144754729 144754803 "-" "ENST00000292562.12" 2
"5789" "7" 102464837 102464863 "-" "ENST00000292566.4" 1
"5790" "19" 15010726 15010825 "+" "ENST00000292574.4" 1
"5791" "19" 1881567 1881804 "-" "ENST00000292577.12" 2
"5792" "19" 1885352 1885496 "-" "ENST00000292577.12" 1
"5793" "5" 179858797 179858817 "-" "ENST00000292586.11" 1
"5794" "5" 179806584 179806866 "-" "ENST00000292591.12" 1
"5795" "5" 179793986 179794080 "+" "ENST00000292596.15" 1
"5796" "5" 179732822 179733112 "+" "ENST00000292599.4" 1
"5797" "7" 102478861 102478922 "-" "ENST00000292614.10" 1
"5798" "7" 102464984 102465080 "+" "ENST00000292616.10" 1
"5799" "5" 180591463 180591499 "-" "ENST00000292641.4" 1
"5800" "7" 103347643 103347711 "+" "ENST00000292644.5" 1
"5801" "19" 3224661 3224739 "+" "ENST00000292672.7" 1
"5802" "22" 21630015 21630022 "-" "ENST00000292778.11" 1
"5803" "22" 21633120 21633181 "+" "ENST00000292779.4" 2
"5804" "22" 21632760 21632827 "+" "ENST00000292779.4" 1
"5805" "3" 182980490 182980538 "-" "ENST00000292782.9" 1
"5806" "3" 184176951 184176993 "+" "ENST00000292807.9" 2
"5807" "3" 184174855 184174959 "+" "ENST00000292807.9" 1
"5808" "19" 37172627 37172695 "-" "ENST00000292841.10" 1
"5809" "19" 37169911 37170054 "-" "ENST00000292841.10" 2
"5810" "19" 38950320 38950336 "-" "ENST00000292852.9" 2
"5811" "19" 38975586 38975742 "-" "ENST00000292852.9" 1
"5812" "19" 39032503 39032549 "-" "ENST00000292853.9" 1
"5813" "19" 39032228 39032253 "-" "ENST00000292853.9" 2
"5814" "19" 36054218 36054285 "-" "ENST00000292894.2" 1
"5815" "19" 36152408 36152447 "-" "ENST00000292907.8" 1
"5816" "19" 36605313 36605347 "+" "ENST00000292928.7" 1
"5817" "19" 36607552 36607622 "+" "ENST00000292928.7" 2
"5818" "19" 36609902 36609914 "+" "ENST00000292928.7" 3
"5819" "17" 74855093 74855107 "-" "ENST00000293190.10" 2
"5820" "17" 74859744 74859885 "-" "ENST00000293190.10" 1
"5821" "17" 74872945 74872994 "-" "ENST00000293195.10" 1
"5822" "17" 75979074 75979166 "-" "ENST00000293217.10" 1
"5823" "17" 76537543 76537709 "-" "ENST00000293230.10" 1
"5824" "19" 48043923 48044079 "-" "ENST00000293255.3" 1
"5825" "19" 48363921 48363940 "-" "ENST00000293261.8" 1
"5826" "17" 41837825 41837932 "+" "ENST00000293303.5" 1
"5827" "17" 42276248 42276391 "-" "ENST00000293328.8" 1
"5828" "17" 42232128 42232137 "-" "ENST00000293328.8" 2
"5829" "17" 42185366 42185452 "-" "ENST00000293330.1" 1
"5830" "19" 49453225 49453331 "+" "ENST00000293350.9" 1
"5831" "12" 54648304 54648365 "-" "ENST00000293371.11" 1
"5832" "12" 54497752 54497789 "+" "ENST00000293373.11" 1
"5833" "12" 54419199 54419266 "-" "ENST00000293379.9" 1
"5834" "17" 44004622 44004663 "+" "ENST00000293404.8" 1
"5835" "19" 50163195 50163281 "-" "ENST00000293405.8" 1
"5836" "17" 44066588 44066671 "-" "ENST00000293406.8" 1
"5837" "17" 44170704 44170789 "+" "ENST00000293414.6" 1
"5838" "19" 50716920 50716962 "-" "ENST00000293441.6" 2
"5839" "19" 50719406 50719802 "-" "ENST00000293441.6" 1
"5840" "17" 44363715 44363853 "-" "ENST00000293443.12" 1
"5841" "19" 51929732 51929896 "+" "ENST00000293471.11" 2
"5842" "19" 51936028 51936220 "+" "ENST00000293471.11" 3
"5843" "19" 51927472 51927540 "+" "ENST00000293471.11" 1
"5844" "12" 56934262 56934408 "-" "ENST00000293502.2" 1
"5845" "12" 48978322 48978650 "+" "ENST00000293549.4" 1
"5846" "12" 49961872 49962017 "+" "ENST00000293599.7" 1
"5847" "12" 51346639 51346679 "-" "ENST00000293636.2" 1
"5848" "12" 52006946 52007019 "+" "ENST00000293662.9" 1
"5849" "12" 52321336 52321398 "-" "ENST00000293670.3" 1
"5850" "19" 12919258 12919293 "-" "ENST00000293695.8" 1
"5851" "19" 12333483 12333633 "-" "ENST00000293725.10" 1
"5852" "12" 52601453 52601463 "-" "ENST00000293745.7" 1
"5853" "6" 33735477 33735655 "-" "ENST00000293756.5" 2
"5854" "6" 33746758 33746905 "-" "ENST00000293756.5" 1
"5855" "6" 33789117 33789130 "-" "ENST00000293760.10" 1
"5856" "17" 4641652 4641678 "-" "ENST00000293761.8" 1
"5857" "19" 11505787 11505839 "-" "ENST00000293771.10" 1
"5858" "17" 4731428 4731489 "+" "ENST00000293777.6" 1
"5859" "17" 4739340 4739928 "-" "ENST00000293778.12" 1
"5860" "17" 7023660 7023671 "+" "ENST00000293805.10" 2
"5861" "17" 7023050 7023099 "+" "ENST00000293805.10" 1
"5862" "17" 7549058 7549153 "+" "ENST00000293825.11" 1
"5863" "17" 7439512 7439620 "+" "ENST00000293829.9" 1
"5864" "17" 7572825 7572841 "+" "ENST00000293831.13" 1
"5865" "17" 8744610 8744836 "-" "ENST00000293845.8" 1
"5866" "16" 53587 53608 "-" "ENST00000293860.6" 1
"5867" "16" 53828 54016 "+" "ENST00000293861.8" 1
"5868" "16" 229340 229449 "-" "ENST00000293872.13" 1
"5869" "16" 649365 649416 "+" "ENST00000293879.9" 1
"5870" "16" 689641 690398 "-" "ENST00000293883.9" 1
"5871" "16" 981770 981922 "+" "ENST00000293894.4" 1
"5872" "16" 2520371 2520458 "+" "ENST00000293971.11" 1
"5873" "16" 2471297 2471701 "+" "ENST00000293973.2" 1
"5874" "16" 3611560 3611606 "-" "ENST00000294008.4" 1
"5875" "16" 3608965 3609566 "-" "ENST00000294008.4" 2
"5876" "16" 4115443 4115485 "-" "ENST00000294016.8" 2
"5877" "16" 4115690 4116442 "-" "ENST00000294016.8" 1
"5878" "11" 74988933 74989060 "+" "ENST00000294064.9" 1
"5879" "11" 64803150 64803214 "-" "ENST00000294066.7" 1
"5880" "11" 61357733 61357828 "-" "ENST00000294072.9" 2
"5881" "11" 61356714 61356728 "-" "ENST00000294072.9" 3
"5882" "11" 61361733 61361882 "-" "ENST00000294072.9" 1
"5883" "11" 62707676 62707915 "+" "ENST00000294117.6" 1
"5884" "11" 62708295 62708295 "+" "ENST00000294117.6" 2
"5885" "3" 48685808 48685915 "-" "ENST00000294129.7" 1
"5886" "11" 62775771 62775783 "+" "ENST00000294168.8" 2
"5887" "11" 62771396 62771490 "+" "ENST00000294168.8" 1
"5888" "11" 62805357 62805440 "-" "ENST00000294172.7" 1
"5889" "11" 62831244 62831262 "-" "ENST00000294179.8" 2
"5890" "11" 62831954 62832051 "-" "ENST00000294179.8" 1
"5891" "3" 51995857 51995895 "-" "ENST00000294189.11" 1
"5892" "3" 51995462 51995469 "-" "ENST00000294189.11" 2
"5893" "11" 63813456 63813686 "+" "ENST00000294244.9" 1
"5894" "11" 65084222 65084378 "+" "ENST00000294258.8" 1
"5895" "11" 65084691 65084698 "+" "ENST00000294258.8" 2
"5896" "11" 67523327 67523446 "-" "ENST00000294288.5" 1
"5897" "11" 68312591 68312714 "+" "ENST00000294304.12" 1
"5898" "11" 69048932 69048997 "+" "ENST00000294309.8" 1
"5899" "11" 69703877 69704022 "-" "ENST00000294312.4" 1
"5900" "1" 47189933 47190036 "-" "ENST00000294338.7" 1
"5901" "1" 52726453 52726653 "+" "ENST00000294353.7" 1
"5902" "1" 53220576 53220634 "-" "ENST00000294360.5" 1
"5903" "1" 55215114 55215364 "-" "ENST00000294383.7" 1
"5904" "1" 25420787 25420825 "-" "ENST00000294413.13" 1
"5905" "1" 64745075 64745172 "+" "ENST00000294428.8" 1
"5906" "1" 9997228 9997258 "+" "ENST00000294435.8" 1
"5907" "1" 15736258 15736485 "+" "ENST00000294454.6" 1
"5908" "1" 11479155 11479372 "+" "ENST00000294484.7" 1
"5909" "1" 11500990 11500992 "+" "ENST00000294484.7" 2
"5910" "1" 11691710 11691853 "+" "ENST00000294485.6" 1
"5911" "1" 11706249 11706258 "+" "ENST00000294485.6" 2
"5912" "1" 30757746 30757774 "-" "ENST00000294507.4" 1
"5913" "1" 33082178 33082249 "+" "ENST00000294517.11" 4
"5914" "1" 33081601 33081812 "+" "ENST00000294517.11" 3
"5915" "1" 33081153 33081294 "+" "ENST00000294517.11" 1
"5916" "1" 33081388 33081508 "+" "ENST00000294517.11" 2
"5917" "1" 19799855 19799916 "-" "ENST00000294543.11" 1
"5918" "1" 19780759 19780766 "-" "ENST00000294543.11" 4
"5919" "1" 19787026 19787117 "-" "ENST00000294543.11" 3
"5920" "1" 19798137 19798215 "-" "ENST00000294543.11" 2
"5921" "1" 3752450 3752481 "+" "ENST00000294600.7" 1
"5922" "19" 11262441 11262524 "-" "ENST00000294618.12" 1
"5923" "1" 74483350 74483375 "-" "ENST00000294635.5" 2
"5924" "1" 74512526 74512611 "-" "ENST00000294635.5" 1
"5925" "1" 85071928 85071941 "+" "ENST00000294664.11" 2
"5926" "1" 85062327 85062486 "+" "ENST00000294664.11" 1
"5927" "1" 89175921 89176003 "-" "ENST00000294671.3" 1
"5928" "1" 89171936 89171954 "-" "ENST00000294671.3" 2
"5929" "1" 92483488 92483586 "-" "ENST00000294702.6" 2
"5930" "1" 92486726 92486925 "-" "ENST00000294702.6" 1
"5931" "1" 196608310 196608440 "-" "ENST00000294725.14" 1
"5932" "1" 100719742 100719860 "+" "ENST00000294728.7" 1
"5933" "1" 160343383 160343396 "+" "ENST00000294785.10" 1
"5934" "1" 162023431 162023869 "-" "ENST00000294794.8" 1
"5935" "1" 209784378 209784559 "-" "ENST00000294811.2" 1
"5936" "1" 209783635 209783709 "-" "ENST00000294811.2" 2
"5937" "1" 165544000 165544296 "+" "ENST00000294818.2" 1
"5938" "1" 212624474 212624877 "+" "ENST00000294829.5" 1
"5939" "1" 182450146 182450165 "+" "ENST00000294854.13" 1
"5940" "1" 220690363 220690402 "+" "ENST00000294889.6" 1
"5941" "2" 48440766 48440953 "+" "ENST00000294952.13" 1
"5942" "2" 48755672 48755724 "-" "ENST00000294954.12" 1
"5943" "2" 42048021 42048199 "+" "ENST00000294964.6" 1
"5944" "2" 42792537 42792583 "-" "ENST00000294973.11" 1
"5945" "1" 206897731 206897832 "+" "ENST00000294984.7" 2
"5946" "1" 206897443 206897615 "+" "ENST00000294984.7" 1
"5947" "1" 223712539 223712640 "+" "ENST00000295006.6" 1
"5948" "2" 61017720 61017759 "+" "ENST00000295030.6" 1
"5949" "2" 197675459 197675587 "-" "ENST00000295049.9" 1
"5950" "1" 231338293 231338383 "+" "ENST00000295050.12" 1
"5951" "2" 30807302 30807446 "-" "ENST00000295055.12" 1
"5952" "2" 30787326 30787357 "-" "ENST00000295055.12" 2
"5953" "2" 80304152 80304752 "-" "ENST00000295057.4" 1
"5954" "2" 80303820 80303878 "-" "ENST00000295057.4" 2
"5955" "2" 10911934 10912426 "+" "ENST00000295082.3" 1
"5956" "2" 11155467 11155546 "+" "ENST00000295083.8" 1
"5957" "2" 151828177 151828421 "-" "ENST00000295087.13" 1
"5958" "2" 14633944 14633979 "+" "ENST00000295092.3" 2
"5959" "2" 14632717 14632937 "+" "ENST00000295092.3" 1
"5960" "2" 143155477 143155490 "+" "ENST00000295095.11" 2
"5961" "2" 143129419 143129466 "+" "ENST00000295095.11" 1
"5962" "2" 154698695 154698775 "+" "ENST00000295101.3" 1
"5963" "2" 181680430 181680517 "-" "ENST00000295108.4" 1
"5964" "2" 181678861 181678871 "-" "ENST00000295108.4" 2
"5965" "2" 182866553 182866637 "-" "ENST00000295113.5" 1
"5966" "2" 183124443 183124457 "+" "ENST00000295119.9" 1
"5967" "2" 68157444 68157527 "-" "ENST00000295121.11" 1
"5968" "2" 108786771 108786822 "+" "ENST00000295124.9" 1
"5969" "2" 186849131 186849170 "-" "ENST00000295131.3" 1
"5970" "2" 24039495 24039512 "-" "ENST00000295148.9" 2
"5971" "2" 24047314 24047391 "-" "ENST00000295148.9" 1
"5972" "2" 24175467 24175480 "+" "ENST00000295150.8" 2
"5973" "2" 24175053 24175174 "+" "ENST00000295150.8" 1
"5974" "2" 17592070 17592074 "+" "ENST00000295156.9" 2
"5975" "2" 17540696 17540918 "+" "ENST00000295156.9" 1
"5976" "2" 230059353 230059366 "-" "ENST00000295190.9" 2
"5977" "2" 230068555 230068924 "-" "ENST00000295190.9" 1
"5978" "2" 94871430 94871579 "+" "ENST00000295201.5" 1
"5979" "2" 118847168 118847648 "-" "ENST00000295206.7" 1
"5980" "2" 95157351 95157439 "-" "ENST00000295208.7" 2
"5981" "2" 95159240 95159848 "-" "ENST00000295208.7" 1
"5982" "2" 95153254 95153259 "-" "ENST00000295208.7" 3
"5983" "4" 52051304 52051704 "+" "ENST00000295213.9" 1
"5984" "2" 95297347 95297438 "+" "ENST00000295225.10" 1
"5985" "2" 120346136 120346188 "+" "ENST00000295228.4" 1
"5986" "2" 169479494 169479553 "+" "ENST00000295240.8" 1
"5987" "2" 95991709 95991824 "-" "ENST00000295246.7" 1
"5988" "4" 94342795 94342836 "-" "ENST00000295256.10" 1
"5989" "4" 94334630 94334638 "-" "ENST00000295256.10" 2
"5990" "4" 95840093 95840150 "+" "ENST00000295266.6" 1
"5991" "4" 98143151 98143476 "-" "ENST00000295268.4" 1
"5992" "2" 102473226 102473759 "+" "ENST00000295269.5" 1
"5993" "2" 53767804 53767886 "+" "ENST00000295304.5" 1
"5994" "1" 151174876 151174917 "-" "ENST00000295314.9" 2
"5995" "1" 151175924 151175981 "-" "ENST00000295314.9" 1
"5996" "2" 101308589 101308701 "-" "ENST00000295317.4" 1
"5997" "2" 127526209 127526489 "-" "ENST00000295321.9" 1
"5998" "2" 37646588 37646822 "-" "ENST00000295324.4" 2
"5999" "2" 37671426 37671642 "-" "ENST00000295324.4" 1
"6000" "1" 153003002 153003020 "+" "ENST00000295367.5" 2
"6001" "1" 153001749 153001793 "+" "ENST00000295367.5" 1
"6002" "2" 68871359 68871397 "-" "ENST00000295379.2" 1
"6003" "2" 70553768 70553826 "-" "ENST00000295400.11" 1
"6004" "2" 111898607 111898735 "+" "ENST00000295408.9" 1
"6005" "2" 207711640 207711896 "+" "ENST00000295414.8" 1
"6006" "2" 207769265 207769906 "-" "ENST00000295417.4" 1
"6007" "2" 207768740 207768994 "-" "ENST00000295417.4" 2
"6008" "4" 44726474 44726556 "-" "ENST00000295448.8" 1
"6009" "4" 44722208 44722242 "-" "ENST00000295448.8" 2
"6010" "4" 46123914 46124054 "-" "ENST00000295452.5" 1
"6011" "2" 232406844 232406894 "+" "ENST00000295453.8" 1
"6012" "4" 47031567 47031651 "+" "ENST00000295454.8" 1
"6013" "4" 48016772 48016839 "+" "ENST00000295461.10" 1
"6014" "2" 232456153 232456199 "+" "ENST00000295463.4" 1
"6015" "4" 82429691 82430462 "-" "ENST00000295470.10" 1
"6016" "4" 83455694 83455823 "-" "ENST00000295488.8" 1
"6017" "4" 83456058 83456077 "+" "ENST00000295491.9" 1
"6018" "3" 190322207 190322446 "-" "ENST00000295522.4" 1
"6019" "1" 155033824 155033854 "+" "ENST00000295542.6" 1
"6020" "1" 155033972 155034036 "+" "ENST00000295542.6" 2
"6021" "2" 237413953 237414164 "-" "ENST00000295550.9" 1
"6022" "2" 237396818 237396847 "-" "ENST00000295550.9" 2
"6023" "3" 68932240 68932547 "-" "ENST00000295569.12" 1
"6024" "3" 68885189 68885310 "-" "ENST00000295569.12" 2
"6025" "3" 119468963 119469021 "+" "ENST00000295588.9" 1
"6026" "4" 26490268 26490484 "-" "ENST00000295589.4" 1
"6027" "1" 116373244 116373511 "+" "ENST00000295598.10" 1
"6028" "3" 71785053 71785148 "-" "ENST00000295619.4" 1
"6029" "3" 119146165 119146189 "+" "ENST00000295622.6" 1
"6030" "3" 120349244 120349354 "-" "ENST00000295628.4" 1
"6031" "3" 120450897 120450992 "-" "ENST00000295633.8" 1
"6032" "1" 201982648 201982666 "+" "ENST00000295640.9" 1
"6033" "4" 55592110 55592245 "-" "ENST00000295645.9" 1
"6034" "4" 57110352 57110385 "-" "ENST00000295666.6" 1
"6035" "1" 155173225 155173304 "-" "ENST00000295682.6" 1
"6036" "2" 218166908 218166962 "-" "ENST00000295683.3" 1
"6037" "2" 218165212 218165244 "-" "ENST00000295683.3" 2
"6038" "1" 156338185 156338292 "-" "ENST00000295688.8" 1
"6039" "1" 156020888 156020951 "-" "ENST00000295702.9" 1
"6040" "2" 218671971 218672002 "-" "ENST00000295704.7" 1
"6041" "1" 203026491 203026629 "+" "ENST00000295706.9" 1
"6042" "1" 203038610 203039008 "+" "ENST00000295706.9" 2
"6043" "2" 218672741 218672829 "+" "ENST00000295709.8" 2
"6044" "2" 218672086 218672215 "+" "ENST00000295709.8" 1
"6045" "2" 219309333 219309401 "-" "ENST00000295718.7" 1
"6046" "2" 218985076 218985184 "-" "ENST00000295727.2" 1
"6047" "2" 218993177 218993422 "-" "ENST00000295728.7" 1
"6048" "2" 219060468 219060921 "-" "ENST00000295731.7" 1
"6049" "3" 108589376 108589438 "-" "ENST00000295746.13" 1
"6050" "3" 30606601 30606883 "+" "ENST00000295754.10" 1
"6051" "3" 108757186 108757410 "-" "ENST00000295755.7" 1
"6052" "3" 108822786 108822927 "+" "ENST00000295756.11" 1
"6053" "3" 13480306 13480347 "+" "ENST00000295757.8" 1
"6054" "2" 219243574 219243643 "-" "ENST00000295759.12" 2
"6055" "2" 219245229 219245444 "-" "ENST00000295759.12" 1
"6056" "3" 31532925 31532998 "+" "ENST00000295770.4" 1
"6057" "3" 170222424 170222669 "+" "ENST00000295797.5" 1
"6058" "2" 85354508 85354528 "-" "ENST00000295802.9" 1
"6059" "1" 159014661 159014680 "+" "ENST00000295809.12" 2
"6060" "1" 159009907 159010161 "+" "ENST00000295809.12" 1
"6061" "3" 170907807 170907841 "-" "ENST00000295822.7" 2
"6062" "3" 170908543 170908637 "-" "ENST00000295822.7" 1
"6063" "3" 19934019 19934217 "-" "ENST00000295824.14" 1
"6064" "3" 170870168 170870195 "-" "ENST00000295830.13" 1
"6065" "2" 88128018 88128062 "-" "ENST00000295834.8" 1
"6066" "3" 113514897 113515156 "-" "ENST00000295872.8" 1
"6067" "3" 114056467 114056526 "-" "ENST00000295878.8" 1
"6068" "4" 84498229 84499292 "-" "ENST00000295886.5" 1
"6069" "4" 84583127 84583401 "+" "ENST00000295887.6" 1
"6070" "4" 84896911 84897010 "-" "ENST00000295888.9" 3
"6071" "4" 84966209 84966690 "-" "ENST00000295888.9" 1
"6072" "4" 84932270 84932363 "-" "ENST00000295888.9" 2
"6073" "4" 84860592 84860622 "-" "ENST00000295888.9" 4
"6074" "3" 63819299 63819471 "+" "ENST00000295896.13" 1
"6075" "4" 73404287 73404327 "+" "ENST00000295897.9" 1
"6076" "4" 86892183 86892422 "-" "ENST00000295898.8" 1
"6077" "4" 86891521 86891593 "-" "ENST00000295898.8" 2
"6078" "3" 63863791 63863805 "-" "ENST00000295899.10" 1
"6079" "3" 64023420 64023494 "-" "ENST00000295901.9" 1
"6080" "3" 150703899 150703920 "-" "ENST00000295910.11" 1
"6081" "3" 156677657 156677697 "+" "ENST00000295924.12" 2
"6082" "3" 156674590 156674796 "+" "ENST00000295924.12" 1
"6083" "3" 157160095 157160147 "-" "ENST00000295926.8" 1
"6084" "3" 157436850 157436933 "+" "ENST00000295927.4" 1
"6085" "3" 57199919 57199978 "-" "ENST00000295934.8" 1
"6086" "4" 39458891 39458922 "-" "ENST00000295955.14" 1
"6087" "4" 39458440 39458440 "-" "ENST00000295955.14" 2
"6088" "3" 58008422 58008564 "+" "ENST00000295956.9" 1
"6089" "4" 39605146 39605180 "-" "ENST00000295958.10" 2
"6090" "4" 39638739 39638865 "-" "ENST00000295958.10" 1
"6091" "3" 58310309 58310329 "+" "ENST00000295959.10" 2
"6092" "3" 58306245 58306417 "+" "ENST00000295959.10" 1
"6093" "4" 40438894 40438924 "-" "ENST00000295971.12" 4
"6094" "4" 40544422 40544506 "-" "ENST00000295971.12" 2
"6095" "4" 40629396 40629864 "-" "ENST00000295971.12" 1
"6096" "4" 40466577 40466699 "-" "ENST00000295971.12" 3
"6097" "X" 47619729 47619857 "-" "ENST00000295987.13" 1
"6098" "3" 142888897 142889083 "-" "ENST00000295992.8" 1
"6099" "3" 9649505 9649583 "+" "ENST00000296003.9" 1
"6100" "3" 180602163 180602261 "+" "ENST00000296015.9" 1
"6101" "4" 74038612 74038689 "-" "ENST00000296026.4" 1
"6102" "4" 73998582 73998677 "-" "ENST00000296027.5" 1
"6103" "4" 73988104 73988190 "-" "ENST00000296028.4" 1
"6104" "4" 73981954 73982027 "-" "ENST00000296029.4" 1
"6105" "4" 76435229 76436052 "+" "ENST00000296043.7" 1
"6106" "3" 148865296 148865307 "+" "ENST00000296046.4" 1
"6107" "3" 149129638 149129723 "+" "ENST00000296051.7" 1
"6108" "3" 149333383 149333399 "-" "ENST00000296059.7" 2
"6109" "3" 149333513 149333636 "-" "ENST00000296059.7" 1
"6110" "3" 43303098 43303203 "+" "ENST00000296088.12" 3
"6111" "3" 43299754 43299815 "+" "ENST00000296088.12" 2
"6112" "3" 43286540 43286675 "+" "ENST00000296088.12" 1
"6113" "2" 27149004 27149133 "+" "ENST00000296096.6" 1
"6114" "2" 27276106 27276387 "+" "ENST00000296097.8" 2
"6115" "2" 27276726 27276728 "+" "ENST00000296097.8" 3
"6116" "2" 27275433 27275553 "+" "ENST00000296097.8" 1
"6117" "2" 27307896 27307908 "-" "ENST00000296099.2" 2
"6118" "2" 27308160 27308445 "-" "ENST00000296099.2" 1
"6119" "2" 27771719 27771777 "+" "ENST00000296102.8" 1
"6120" "3" 44761603 44761619 "-" "ENST00000296121.6" 1
"6121" "3" 44874608 44874678 "+" "ENST00000296125.9" 1
"6122" "3" 45146288 45146378 "-" "ENST00000296129.6" 1
"6123" "3" 45026303 45026362 "+" "ENST00000296130.5" 1
"6124" "3" 45841992 45842119 "-" "ENST00000296135.11" 1
"6125" "3" 45995722 45995824 "-" "ENST00000296137.7" 1
"6126" "3" 45984911 45985022 "-" "ENST00000296137.7" 2
"6127" "3" 46204314 46204324 "-" "ENST00000296140.4" 2
"6128" "3" 46208282 46208313 "-" "ENST00000296140.4" 1
"6129" "3" 46497976 46498062 "+" "ENST00000296142.4" 1
"6130" "3" 46577788 46577969 "+" "ENST00000296145.6" 1
"6131" "3" 47513591 47513712 "-" "ENST00000296149.9" 1
"6132" "3" 122564338 122564426 "+" "ENST00000296161.9" 1
"6133" "3" 124887001 124887365 "-" "ENST00000296181.9" 1
"6134" "1" 37514747 37514766 "-" "ENST00000296214.10" 1
"6135" "1" 37554230 37554293 "-" "ENST00000296215.8" 1
"6136" "3" 125594801 125595497 "-" "ENST00000296220.6" 1
"6137" "3" 126352923 126352947 "-" "ENST00000296233.4" 2
"6138" "3" 126357237 126357408 "-" "ENST00000296233.4" 1
"6139" "3" 184261286 184261553 "-" "ENST00000296238.4" 1
"6140" "3" 185552472 185552588 "-" "ENST00000296252.9" 1
"6141" "3" 128650801 128650818 "-" "ENST00000296255.8" 1
"6142" "3" 185586295 185586413 "+" "ENST00000296257.10" 1
"6143" "3" 129528639 129528733 "+" "ENST00000296271.4" 1
"6144" "3" 186804714 186804724 "-" "ENST00000296273.7" 2
"6145" "3" 186806290 186806482 "-" "ENST00000296273.7" 1
"6146" "3" 187121301 187121328 "-" "ENST00000296277.9" 3
"6147" "3" 187127999 187128062 "-" "ENST00000296277.9" 2
"6148" "3" 187139213 187139496 "-" "ENST00000296277.9" 1
"6149" "3" 187291633 187291737 "-" "ENST00000296280.11" 1
"6150" "3" 53130401 53130435 "-" "ENST00000296292.8" 1
"6151" "3" 56801799 56801949 "-" "ENST00000296315.8" 1
"6152" "3" 57165287 57165353 "-" "ENST00000296318.12" 1
"6153" "3" 196211316 196211400 "-" "ENST00000296326.8" 1
"6154" "3" 196216534 196216712 "+" "ENST00000296327.10" 1
"6155" "3" 196432400 196432427 "-" "ENST00000296328.9" 1
"6156" "3" 197736720 197736904 "-" "ENST00000296343.10" 1
"6157" "3" 197029703 197029817 "-" "ENST00000296350.10" 1
"6158" "4" 4226865 4226929 "-" "ENST00000296358.5" 1
"6159" "4" 6693878 6693932 "+" "ENST00000296370.4" 1
"6160" "1" 42740064 42740236 "-" "ENST00000296387.6" 1
"6161" "1" 42766972 42767028 "-" "ENST00000296388.10" 1
"6162" "4" 98995721 98995753 "+" "ENST00000296411.11" 1
"6163" "4" 99088701 99088788 "-" "ENST00000296412.14" 1
"6164" "4" 99950171 99950275 "-" "ENST00000296417.6" 1
"6165" "4" 100517915 100518022 "-" "ENST00000296420.9" 1
"6166" "4" 102991712 102991712 "-" "ENST00000296422.12" 2
"6167" "4" 103019599 103019705 "-" "ENST00000296422.12" 1
"6168" "4" 103099783 103099834 "-" "ENST00000296424.9" 1
"6169" "4" 103096255 103096274 "-" "ENST00000296424.9" 2
"6170" "4" 128287791 128287813 "-" "ENST00000296425.10" 1
"6171" "3" 48372684 48372767 "+" "ENST00000296438.9" 2
"6172" "3" 48372219 48372320 "+" "ENST00000296438.9" 1
"6173" "3" 48425281 48425333 "-" "ENST00000296440.11" 2
"6174" "3" 48424612 48424617 "-" "ENST00000296440.11" 3
"6175" "3" 48430008 48430086 "-" "ENST00000296440.11" 1
"6176" "3" 48504095 48504174 "-" "ENST00000296444.7" 1
"6177" "3" 49554477 49554602 "+" "ENST00000296452.5" 1
"6178" "3" 49674351 49674401 "+" "ENST00000296456.10" 1
"6179" "4" 127782322 127782550 "+" "ENST00000296464.9" 1
"6180" "3" 49913347 49913359 "-" "ENST00000296473.8" 2
"6181" "3" 49929609 49929811 "-" "ENST00000296473.8" 1
"6182" "3" 49903610 49903873 "-" "ENST00000296474.8" 1
"6183" "3" 52154373 52154423 "-" "ENST00000296484.7" 1
"6184" "4" 108762899 108763053 "-" "ENST00000296486.8" 1
"6185" "3" 52278362 52278649 "-" "ENST00000296490.8" 1
"6186" "4" 118352721 118353003 "-" "ENST00000296498.3" 1
"6187" "4" 118053756 118053910 "+" "ENST00000296499.6" 2
"6188" "4" 118034486 118034592 "+" "ENST00000296499.6" 1
"6189" "4" 173334272 173334358 "-" "ENST00000296503.10" 1
"6190" "4" 173333650 173333669 "-" "ENST00000296503.10" 2
"6191" "4" 173370954 173371182 "+" "ENST00000296504.4" 1
