"t_id" "chromosome" "g_start_coord_ref" "g_end_coord_ref" "strand_mane" "u_id" "u_id2" "aug_end" "one_two_three" "phylop2" "start"
"9358" "ENST00000379800.4" "chr13" 37105615 37105635 "-" 9358 "uORF" 37105635 3 0.333333333333333 "CAT"
"9360" "ENST00000379826.5" "chr13" 36879736 36879777 "-" 9360 "uORF" 36879777 3 1.66666666666667 "CAT"
"9363" "ENST00000379919.6" "chr13" 35476561 35476584 "-" 9363 "uORF" 35476584 3 4.33333333333333 "CAT"
"9364" "ENST00000379919.6" "chr13" 35476438 35476467 "-" 9364 "uORF" 35476467 3 0.166666666666667 "CAT"
"9370" "ENST00000379958.3" "chr7" 93117885 93117908 "-" 9370 "uORF" 93117908 3 0 "CAT"
"9371" "ENST00000379958.3" "chr7" 93114864 93114884 "-" 9371 "uORF" 93114884 3 -0.666666666666667 "CAT"
"9372" "ENST00000379959.8" "chr10" 6062283 6062300 "-" 9372 "uORF" 6062300 3 0.166666666666667 "CAT"
"9373" "ENST00000379959.8" "chr10" 6062221 6062238 "-" 9373 "uORF" 6062238 3 0.666666666666667 "CAT"
"9380" "ENST00000380032.8" "chr9" 27297139 27297147 "-" 9380 "uORF" 27297147 3 0.833333333333333 "CAT"
"9388" "ENST00000380055.6" "chr9" 27005653 27005667 "-" 9388 "uORF" 27005667 3 1.33333333333333 "CAT"
"9389" "ENST00000380055.6" "chr9" 27005633 27005653 "-" 9389 "uORF" 27005653 3 1.16666666666667 "CAT"
"9390" "ENST00000380087.7" "chrX" 16870101 16870346 "-" 9390 "uORF" 16870346 3 0.5 "CAT"
"9392" "ENST00000380184.2" "chr11" 5516678 5516692 "-" 9392 "uORF" 5516692 3 -0.333333333333333 "CAT"
"9393" "ENST00000380184.2" "chr11" 5516670 5516681 "-" 9393 "uORF" 5516681 3 3.33333333333333 "CAT"
"9394" "ENST00000380184.2" "chr11" 5516626 5516667 "-" 9394 "uORF" 5516667 3 -0.333333333333333 "CAT"
"9395" "ENST00000380229.4" "chr9" 21141779 21141790 "-" 9395 "uORF" 21141790 3 -0.5 "CAT"
"9396" "ENST00000380229.4" "chr9" 21141628 21141735 "-" 9396 "uORF" 21141735 3 0.166666666666667 "CAT"
"9397" "ENST00000380229.4" "chr9" 21141686 21141700 "-" 9397 "uORF" 21141700 3 -0.5 "CAT"
"9398" "ENST00000380229.4" "chr9" 21141615 21141689 "-" 9398 "uORF" 21141689 3 0.333333333333333 "CAT"
"9399" "ENST00000380229.4" "chr9" 21141615 21141680 "-" 9399 "uORF" 21141680 3 -1.33333333333333 "CAT"
"9400" "ENST00000380229.4" "chr9" 21141615 21141659 "-" 9400 "uORF" 21141659 3 -0.666666666666667 "CAT"
"9401" "ENST00000380243.9" "chr14" 99603970 99603981 "-" 9401 "uORF" 99603981 3 1.16666666666667 "CAT"
"9402" "ENST00000380266.4" "chr20" 3149114 3149209 "-" 9402 "uORF" 3149209 3 2.16666666666667 "CAT"
"9407" "ENST00000380338.9" "chr9" 20622329 20622388 "-" 9407 "uORF" 20622388 3 5.33333333333333 "CAT"
"9408" "ENST00000380338.9" "chr9" 20622318 20622332 "-" 9408 "uORF" 20622332 3 4 "CAT"
"9409" "ENST00000380345.7" "chr5" 78632309 78632329 "-" 9409 "uORF" 78632329 3 -0.5 "CAT"
"9410" "ENST00000380345.7" "chr5" 78564844 78632298 "-" 9410 "uORF" 78632298 3 -0.5 "CAT"
"9411" "ENST00000380345.7" "chr5" 78510323 78510352 "-" 9411 "uORF" 78510352 3 0.166666666666667 "CAT"
"9412" "ENST00000380345.7" "chr5" 78510255 78510326 "-" 9412 "uORF" 78510326 3 -0.333333333333333 "CAT"
"9413" "ENST00000380367.3" "chr11" 5154717 5154737 "-" 9413 "uORF" 5154737 3 0.5 "CAT"
"9414" "ENST00000380367.3" "chr11" 5154700 5154720 "-" 9414 "uORF" 5154720 3 -1 "CAT"
"9415" "ENST00000380367.3" "chr11" 5152675 5154703 "-" 9415 "uORF" 5154703 3 0.166666666666667 "CAT"
"9416" "ENST00000380367.3" "chr11" 5154681 5154689 "-" 9416 "uORF" 5154689 3 0.166666666666667 "CAT"
"9417" "ENST00000380367.3" "chr11" 5152675 5154655 "-" 9417 "uORF" 5154655 3 -0.666666666666667 "CAT"
"9418" "ENST00000380367.3" "chr11" 5154559 5154636 "-" 9418 "uORF" 5154636 3 -0.666666666666667 "CAT"
"9419" "ENST00000380367.3" "chr11" 5154483 5154608 "-" 9419 "uORF" 5154608 3 0.666666666666667 "CAT"
"9420" "ENST00000380367.3" "chr11" 5152675 5154553 "-" 9420 "uORF" 5154553 3 0.333333333333333 "CAT"
"9421" "ENST00000380367.3" "chr11" 5154483 5154539 "-" 9421 "uORF" 5154539 3 -1.5 "CAT"
"9422" "ENST00000380367.3" "chr11" 5152675 5154478 "-" 9422 "uORF" 5154478 3 0 "CAT"
"9423" "ENST00000380367.3" "chr11" 5152559 5152624 "-" 9423 "uORF" 5152624 3 -0.166666666666667 "CAT"
"9424" "ENST00000380367.3" "chr11" 5152537 5152608 "-" 9424 "uORF" 5152608 3 0 "CAT"
"9425" "ENST00000380367.3" "chr11" 5152572 5152589 "-" 9425 "uORF" 5152589 3 -0.666666666666667 "CAT"
"9426" "ENST00000380367.3" "chr11" 5152506 5152571 "-" 9426 "uORF" 5152571 3 -0.166666666666667 "CAT"
"9427" "ENST00000380367.3" "chr11" 5152506 5152550 "-" 9427 "uORF" 5152550 3 0.833333333333333 "CAT"
"9428" "ENST00000380367.3" "chr11" 5152409 5152540 "-" 9428 "uORF" 5152540 3 -0.666666666666667 "CAT"
"9429" "ENST00000380367.3" "chr11" 5152409 5152504 "-" 9429 "uORF" 5152504 3 -0.166666666666667 "CAT"
"9430" "ENST00000380367.3" "chr11" 5152459 5152500 "-" 9430 "uORF" 5152500 3 0 "CAT"
"9431" "ENST00000380367.3" "chr11" 5152409 5152459 "-" 9431 "uORF" 5152459 3 0 "CAT"
"9441" "ENST00000380488.9" "chrX" 15270048 15270071 "-" 9441 "uORF" 15270071 3 -0.333333333333333 "CAT"
"9442" "ENST00000380488.9" "chrX" 15269921 15269941 "-" 9442 "uORF" 15269941 3 1 "CAT"
"9443" "ENST00000380495.9" "chr16" 30031027 30031263 "-" 9443 "uORF" 30031263 3 1.5 "CAT"
"9444" "ENST00000380495.9" "chr16" 30031020 30031115 "-" 9444 "uORF" 30031115 3 -0.5 "CAT"
"9445" "ENST00000380495.9" "chr16" 30031020 30031112 "-" 9445 "uORF" 30031112 3 1 "CAT"
"9446" "ENST00000380495.9" "chr16" 30031020 30031109 "-" 9446 "uORF" 30031109 3 0 "CAT"
"9447" "ENST00000380495.9" "chr16" 30031027 30031104 "-" 9447 "uORF" 30031104 3 0.333333333333333 "CAT"
"9448" "ENST00000380502.8" "chr9" 19102715 19102762 "-" 9448 "uORF" 19102762 3 0.166666666666667 "CAT"
"9449" "ENST00000380518.8" "chr12" 48004401 48004415 "-" 9449 "uORF" 48004415 3 3 "CAT"
"9450" "ENST00000380534.9" "chr9" 19032938 19032946 "-" 9450 "uORF" 19032946 3 0.333333333333333 "CAT"
"9451" "ENST00000380573.4" "chr8" 26867127 26867141 "-" 9451 "uORF" 26867141 3 -0.833333333333333 "CAT"
"9452" "ENST00000380573.4" "chr8" 26865573 26865638 "-" 9452 "uORF" 26865638 3 0 "CAT"
"9453" "ENST00000380573.4" "chr8" 26865325 26865393 "-" 9453 "uORF" 26865393 3 -1.16666666666667 "CAT"
"9454" "ENST00000380573.4" "chr8" 26865325 26865384 "-" 9454 "uORF" 26865384 3 0.166666666666667 "CAT"
"9455" "ENST00000380573.4" "chr8" 26865268 26865312 "-" 9455 "uORF" 26865312 3 -0.833333333333333 "CAT"
"9456" "ENST00000380573.4" "chr8" 26865054 26865191 "-" 9456 "uORF" 26865191 3 1.33333333333333 "CAT"
"9457" "ENST00000380573.4" "chr8" 26865054 26865182 "-" 9457 "uORF" 26865182 3 0 "CAT"
"9458" "ENST00000380573.4" "chr8" 26865054 26865167 "-" 9458 "uORF" 26865167 3 -1 "CAT"
"9459" "ENST00000380579.6" "chrX" 13734099 13734152 "-" 9459 "uORF" 13734152 3 1 "CAT"
"9460" "ENST00000380579.6" "chrX" 13734046 13734132 "-" 9460 "uORF" 13734132 3 0 "CAT"
"9465" "ENST00000380599.9" "chr17" 7467296 7479630 "-" 9465 "uORF" 7479630 3 -0.666666666666667 "CAT"
"9466" "ENST00000380599.9" "chr17" 7467296 7479627 "-" 9466 "uORF" 7479627 3 0.166666666666667 "CAT"
"9467" "ENST00000380615.8" "chr13" 30307423 30307470 "-" 9467 "uORF" 30307470 3 1.83333333333333 "CAT"
"9468" "ENST00000380615.8" "chr13" 30283784 30307355 "-" 9468 "uORF" 30307355 3 0.333333333333333 "CAT"
"9469" "ENST00000380622.5" "chrX" 13319998 13320024 "-" 9469 "uORF" 13320024 3 -0.5 "CAT"
"9472" "ENST00000380680.5" "chr13" 29850567 29850578 "-" 9472 "uORF" 29850578 3 2 "CAT"
"9473" "ENST00000380680.5" "chr13" 29850528 29850560 "-" 9473 "uORF" 29850560 3 2.66666666666667 "CAT"
"9474" "ENST00000380680.5" "chr13" 29850270 29850314 "-" 9474 "uORF" 29850314 3 2.16666666666667 "CAT"
"9475" "ENST00000380680.5" "chr13" 29850117 29850173 "-" 9475 "uORF" 29850173 3 1.83333333333333 "CAT"
"9476" "ENST00000380680.5" "chr13" 29849926 29850012 "-" 9476 "uORF" 29850012 3 2.5 "CAT"
"9477" "ENST00000380680.5" "chr13" 29849943 29849954 "-" 9477 "uORF" 29849954 3 2 "CAT"
"9478" "ENST00000380680.5" "chr13" 29849802 29849867 "-" 9478 "uORF" 29849867 3 1.66666666666667 "CAT"
"9482" "ENST00000380752.10" "chr13" 29553792 29595679 "-" 9482 "uORF" 29595679 3 0.5 "CAT"
"9484" "ENST00000380817.8" "chr22" 50474911 50475012 "-" 9484 "uORF" 50475012 3 1.66666666666667 "CAT"
"9492" "ENST00000380835.7" "chr14" 77423421 77423453 "-" 9492 "uORF" 77423453 3 -0.5 "CAT"
"9493" "ENST00000380835.7" "chr14" 77423414 77423443 "-" 9493 "uORF" 77423443 3 -0.5 "CAT"
"9494" "ENST00000380835.7" "chr14" 77423399 77423413 "-" 9494 "uORF" 77423413 3 0.333333333333333 "CAT"
"9495" "ENST00000380835.7" "chr14" 77423215 77423388 "-" 9495 "uORF" 77423388 3 0 "CAT"
"9496" "ENST00000380835.7" "chr14" 77423215 77423316 "-" 9496 "uORF" 77423316 3 0.166666666666667 "CAT"
"9497" "ENST00000380835.7" "chr14" 77423187 77423306 "-" 9497 "uORF" 77423306 3 0 "CAT"
"9498" "ENST00000380835.7" "chr14" 77423215 77423271 "-" 9498 "uORF" 77423271 3 0.5 "CAT"
"9499" "ENST00000380835.7" "chr14" 77423113 77423142 "-" 9499 "uORF" 77423142 3 0.333333333333333 "CAT"
"9500" "ENST00000380835.7" "chr14" 77423113 77423127 "-" 9500 "uORF" 77423127 3 -0.5 "CAT"
"9501" "ENST00000380835.7" "chr14" 77422960 77423013 "-" 9501 "uORF" 77423013 3 -0.833333333333333 "CAT"
"9502" "ENST00000380877.8" "chr15" 50355078 50355191 "-" 9502 "uORF" 50355191 3 1.66666666666667 "CAT"
"9503" "ENST00000380880.4" "chr9" 14910147 14910251 "-" 9503 "uORF" 14910251 3 2.16666666666667 "CAT"
"9504" "ENST00000380880.4" "chr9" 14910102 14910113 "-" 9504 "uORF" 14910113 3 2 "CAT"
"9505" "ENST00000380880.4" "chr9" 14869113 14869130 "-" 9505 "uORF" 14869130 3 1.16666666666667 "CAT"
"9506" "ENST00000380880.4" "chr9" 14869063 14869119 "-" 9506 "uORF" 14869119 3 0.666666666666667 "CAT"
"9507" "ENST00000380880.4" "chr9" 14869058 14869066 "-" 9507 "uORF" 14869066 3 0.333333333333333 "CAT"
"9510" "ENST00000380916.9" "chr9" 14680113 14693402 "-" 9510 "uORF" 14693402 3 0.666666666666667 "CAT"
"9511" "ENST00000380916.9" "chr9" 14680139 14690384 "-" 9511 "uORF" 14690384 3 0.666666666666667 "CAT"
"9512" "ENST00000380916.9" "chr9" 14680139 14680156 "-" 9512 "uORF" 14680156 3 0.833333333333333 "CAT"
"9513" "ENST00000380916.9" "chr9" 14680044 14680103 "-" 9513 "uORF" 14680103 3 1.83333333333333 "CAT"
"9514" "ENST00000380916.9" "chr9" 14674350 14680080 "-" 9514 "uORF" 14680080 3 1.5 "CAT"
"9515" "ENST00000380953.6" "chr9" 14314038 14314109 "-" 9515 "uORF" 14314109 3 1.33333333333333 "CAT"
"9516" "ENST00000380953.6" "chr9" 14313582 14313596 "-" 9516 "uORF" 14313596 3 4.66666666666667 "CAT"
"9517" "ENST00000380953.6" "chr9" 14313574 14313585 "-" 9517 "uORF" 14313585 3 4.66666666666667 "CAT"
"9518" "ENST00000380953.6" "chr9" 14313521 14313577 "-" 9518 "uORF" 14313577 3 3.66666666666667 "CAT"
"9530" "ENST00000381042.9" "chrX" 7927326 7927364 "-" 9530 "uORF" 7927364 3 -0.666666666666667 "CAT"
"9531" "ENST00000381055.8" "chr5" 65481692 65481769 "-" 9531 "uORF" 65481769 3 3.33333333333333 "CAT"
"9532" "ENST00000381055.8" "chr5" 65481744 65481758 "-" 9532 "uORF" 65481758 3 1.83333333333333 "CAT"
"9533" "ENST00000381055.8" "chr5" 65481581 65481589 "-" 9533 "uORF" 65481589 3 1.66666666666667 "CAT"
"9534" "ENST00000381055.8" "chr5" 65473923 65481351 "-" 9534 "uORF" 65481351 3 4.66666666666667 "CAT"
"9535" "ENST00000381055.8" "chr5" 65473930 65473944 "-" 9535 "uORF" 65473944 3 2.5 "CAT"
"9536" "ENST00000381055.8" "chr5" 65473900 65473914 "-" 9536 "uORF" 65473914 3 1.5 "CAT"
"9537" "ENST00000381055.8" "chr5" 65473862 65473903 "-" 9537 "uORF" 65473903 3 1.83333333333333 "CAT"
"9538" "ENST00000381055.8" "chr5" 65473786 65473857 "-" 9538 "uORF" 65473857 3 4.33333333333333 "CAT"
"9539" "ENST00000381055.8" "chr5" 65473805 65473828 "-" 9539 "uORF" 65473828 3 1.16666666666667 "CAT"
"9540" "ENST00000381055.8" "chr5" 65473705 65473749 "-" 9540 "uORF" 65473749 3 5.66666666666667 "CAT"
"9541" "ENST00000381055.8" "chr5" 65473716 65473733 "-" 9541 "uORF" 65473733 3 1.5 "CAT"
"9543" "ENST00000381089.7" "chrX" 6535008 6535118 "-" 9543 "uORF" 6535118 3 -0.666666666666667 "CAT"
"9544" "ENST00000381089.7" "chrX" 6535008 6535112 "-" 9544 "uORF" 6535112 3 -0.5 "CAT"
"9545" "ENST00000381089.7" "chrX" 6535008 6535091 "-" 9545 "uORF" 6535091 3 0.666666666666667 "CAT"
"9546" "ENST00000381089.7" "chrX" 6535058 6535075 "-" 9546 "uORF" 6535075 3 -0.666666666666667 "CAT"
"9547" "ENST00000381089.7" "chrX" 6535040 6535057 "-" 9547 "uORF" 6535057 3 0.333333333333333 "CAT"
"9548" "ENST00000381089.7" "chrX" 6534995 6535015 "-" 9548 "uORF" 6535015 3 0.833333333333333 "CAT"
"9549" "ENST00000381089.7" "chrX" 6534958 6534972 "-" 9549 "uORF" 6534972 3 0.333333333333333 "CAT"
"9550" "ENST00000381095.8" "chrX" 6228688 6228783 "-" 9550 "uORF" 6228783 3 0.5 "CAT"
"9551" "ENST00000381095.8" "chrX" 6228626 6228691 "-" 9551 "uORF" 6228691 3 0.5 "CAT"
"9552" "ENST00000381095.8" "chrX" 6228542 6228562 "-" 9552 "uORF" 6228562 3 0.666666666666667 "CAT"
"9553" "ENST00000381095.8" "chrX" 6151617 6151727 "-" 9553 "uORF" 6151727 3 0.166666666666667 "CAT"
"9554" "ENST00000381095.8" "chrX" 6151617 6151652 "-" 9554 "uORF" 6151652 3 2.66666666666667 "CAT"
"9555" "ENST00000381095.8" "chrX" 6151470 6151487 "-" 9555 "uORF" 6151487 3 2 "CAT"
"9556" "ENST00000381095.8" "chrX" 6151470 6151481 "-" 9556 "uORF" 6151481 3 0.5 "CAT"
"9568" "ENST00000381210.8" "chr4" 64409376 64409417 "-" 9568 "uORF" 64409417 3 1 "CAT"
"9576" "ENST00000381273.4" "chr12" 27771545 27780234 "-" 9576 "uORF" 27780234 3 0 "CAT"
"9577" "ENST00000381273.4" "chr12" 27771537 27771557 "-" 9577 "uORF" 27771557 3 0.166666666666667 "CAT"
"9578" "ENST00000381273.4" "chr12" 27771517 27771543 "-" 9578 "uORF" 27771543 3 0.833333333333333 "CAT"
"9579" "ENST00000381273.4" "chr12" 27771409 27771495 "-" 9579 "uORF" 27771495 3 -1.5 "CAT"
"9580" "ENST00000381273.4" "chr12" 27771409 27771480 "-" 9580 "uORF" 27771480 3 -0.5 "CAT"
"9581" "ENST00000381273.4" "chr12" 27771409 27771444 "-" 9581 "uORF" 27771444 3 -0.333333333333333 "CAT"
"9582" "ENST00000381297.10" "chrX" 1537056 1537115 "-" 9582 "uORF" 1537115 3 -0.333333333333333 "CAT"
"9583" "ENST00000381298.7" "chr5" 55982788 55982802 "-" 9583 "uORF" 55982802 3 -0.5 "CAT"
"9584" "ENST00000381298.7" "chr5" 55982729 55982791 "-" 9584 "uORF" 55982791 3 1 "CAT"
"9593" "ENST00000381375.7" "chr5" 55173095 55173127 "-" 9593 "uORF" 55173127 3 -1.33333333333333 "CAT"
"9594" "ENST00000381418.9" "chr8" 22130944 22130994 "-" 9594 "uORF" 22130994 3 0.833333333333333 "CAT"
"9595" "ENST00000381418.9" "chr8" 22130604 22130708 "-" 9595 "uORF" 22130708 3 4 "CAT"
"9596" "ENST00000381418.9" "chr8" 22130435 22130500 "-" 9596 "uORF" 22130500 3 1.66666666666667 "CAT"
"9606" "ENST00000381525.8" "chr2" 11465988 11466149 "-" 9606 "uORF" 11466149 3 2 "CAT"
"9607" "ENST00000381525.8" "chr2" 11466119 11466139 "-" 9607 "uORF" 11466139 3 1 "CAT"
"9617" "ENST00000381588.9" "chr13" 26221271 26221330 "-" 9617 "uORF" 26221330 3 1.5 "CAT"
"9618" "ENST00000381588.9" "chr13" 26221249 26221293 "-" 9618 "uORF" 26221293 3 2.5 "CAT"
"9619" "ENST00000381588.9" "chr13" 26221249 26221284 "-" 9619 "uORF" 26221284 3 0 "CAT"
"9620" "ENST00000381588.9" "chr13" 26221260 26221277 "-" 9620 "uORF" 26221277 3 -0.166666666666667 "CAT"
"9643" "ENST00000381801.6" "chr13" 25287277 25287291 "-" 9643 "uORF" 25287291 3 0 "CAT"
"9644" "ENST00000381821.2" "chr22" 37004020 37007746 "-" 9644 "uORF" 37007746 3 2 "CAT"
"9651" "ENST00000381971.8" "chr9" 4299761 4299796 "-" 9651 "uORF" 4299796 3 1.16666666666667 "CAT"
"9652" "ENST00000381971.8" "chr9" 4299538 4299732 "-" 9652 "uORF" 4299732 3 -0.833333333333333 "CAT"
"9653" "ENST00000381971.8" "chr9" 4299705 4299713 "-" 9653 "uORF" 4299713 3 0.333333333333333 "CAT"
"9654" "ENST00000381971.8" "chr9" 4299538 4299705 "-" 9654 "uORF" 4299705 3 1.83333333333333 "CAT"
"9655" "ENST00000381971.8" "chr9" 4299538 4299585 "-" 9655 "uORF" 4299585 3 1.5 "CAT"
"9656" "ENST00000381971.8" "chr9" 4286481 4286507 "-" 9656 "uORF" 4286507 3 4 "CAT"
"9659" "ENST00000382080.6" "chr8" 15238110 15238181 "-" 9659 "uORF" 15238181 3 1.83333333333333 "CAT"
"9660" "ENST00000382080.6" "chr8" 15238046 15238129 "-" 9660 "uORF" 15238129 3 0.666666666666667 "CAT"
"9661" "ENST00000382080.6" "chr8" 15237962 15238021 "-" 9661 "uORF" 15238021 3 5.33333333333333 "CAT"
"9662" "ENST00000382080.6" "chr8" 15237962 15238018 "-" 9662 "uORF" 15238018 3 3.33333333333333 "CAT"
"9663" "ENST00000382080.6" "chr8" 15237962 15237985 "-" 9663 "uORF" 15237985 3 4.33333333333333 "CAT"
"9664" "ENST00000382080.6" "chr8" 15237679 15237750 "-" 9664 "uORF" 15237750 3 5 "CAT"
"9666" "ENST00000382125.9" "chr2" 3377739 3377789 "-" 9666 "uORF" 3377789 3 1.33333333333333 "CAT"
"9667" "ENST00000382125.9" "chr2" 3377720 3377785 "-" 9667 "uORF" 3377785 3 1.5 "CAT"
"9668" "ENST00000382247.6" "chr4" 17804651 17804689 "-" 9668 "uORF" 17804689 3 -0.833333333333333 "CAT"
"9669" "ENST00000382247.6" "chr4" 17804583 17804660 "-" 9669 "uORF" 17804660 3 0 "CAT"
"9670" "ENST00000382247.6" "chr4" 17804430 17804492 "-" 9670 "uORF" 17804492 3 -1 "CAT"
"9671" "ENST00000382247.6" "chr4" 17804441 17804467 "-" 9671 "uORF" 17804467 3 0 "CAT"
"9672" "ENST00000382247.6" "chr4" 17804342 17804356 "-" 9672 "uORF" 17804356 3 0 "CAT"
"9673" "ENST00000382247.6" "chr4" 17804270 17804299 "-" 9673 "uORF" 17804299 3 -0.5 "CAT"
"9674" "ENST00000382247.6" "chr4" 17804262 17804279 "-" 9674 "uORF" 17804279 3 0.5 "CAT"
"9675" "ENST00000382254.6" "chr5" 22853211 22853324 "-" 9675 "uORF" 22853324 3 2.66666666666667 "CAT"
"9676" "ENST00000382254.6" "chr5" 22853173 22853214 "-" 9676 "uORF" 22853214 3 1 "CAT"
"9677" "ENST00000382254.6" "chr5" 22853173 22853199 "-" 9677 "uORF" 22853199 3 0.5 "CAT"
"9678" "ENST00000382254.6" "chr5" 22405346 22505287 "-" 9678 "uORF" 22505287 3 2 "CAT"
"9679" "ENST00000382254.6" "chr5" 22405278 22405346 "-" 9679 "uORF" 22405346 3 0.166666666666667 "CAT"
"9680" "ENST00000382254.6" "chr5" 22212580 22212603 "-" 9680 "uORF" 22212603 3 1.16666666666667 "CAT"
"9681" "ENST00000382254.6" "chr5" 22078784 22078852 "-" 9681 "uORF" 22078852 3 4.66666666666667 "CAT"
"9682" "ENST00000382254.6" "chr5" 22078784 22078810 "-" 9682 "uORF" 22078810 3 3.5 "CAT"
"9683" "ENST00000382275.6" "chr5" 19981084 19981107 "-" 9683 "uORF" 19981107 3 -0.5 "CAT"
"9684" "ENST00000382275.6" "chr5" 19981084 19981104 "-" 9684 "uORF" 19981104 3 0.166666666666667 "CAT"
"9685" "ENST00000382275.6" "chr5" 19839209 19839235 "-" 9685 "uORF" 19839235 3 5.66666666666667 "CAT"
"9686" "ENST00000382275.6" "chr5" 19839144 19839152 "-" 9686 "uORF" 19839152 3 -0.333333333333333 "CAT"
"9687" "ENST00000382275.6" "chr5" 19839122 19839133 "-" 9687 "uORF" 19839133 3 1.66666666666667 "CAT"
"9688" "ENST00000382275.6" "chr5" 19839044 19839118 "-" 9688 "uORF" 19839118 3 6.66666666666667 "CAT"
"9689" "ENST00000382275.6" "chr5" 19839055 19839075 "-" 9689 "uORF" 19839075 3 1.66666666666667 "CAT"
"9690" "ENST00000382275.6" "chr5" 19839034 19839054 "-" 9690 "uORF" 19839054 3 0.5 "CAT"
"9692" "ENST00000382287.5" "chrY" 25051781 25052076 "-" 9692 "uORF" 25052076 3 0 "CAT"
"9693" "ENST00000382287.5" "chrY" 25051752 25051784 "-" 9693 "uORF" 25051784 3 0 "CAT"
"9694" "ENST00000382287.5" "chrY" 25051752 25051781 "-" 9694 "uORF" 25051781 3 0 "CAT"
"9695" "ENST00000382287.5" "chrY" 25048599 25051759 "-" 9695 "uORF" 25051759 3 0 "CAT"
"9696" "ENST00000382287.5" "chrY" 25051705 25051713 "-" 9696 "uORF" 25051713 3 0 "CAT"
"9697" "ENST00000382287.5" "chrY" 25048599 25051708 "-" 9697 "uORF" 25051708 3 0 "CAT"
"9698" "ENST00000382287.5" "chrY" 25044061 25048523 "-" 9698 "uORF" 25048523 3 -1 "CAT"
"9699" "ENST00000382292.9" "chr13" 23411727 23433666 "-" 9699 "uORF" 23433666 3 0.5 "CAT"
"9700" "ENST00000382292.9" "chr13" 23411727 23433630 "-" 9700 "uORF" 23433630 3 0.166666666666667 "CAT"
"9701" "ENST00000382292.9" "chr13" 23411654 23411719 "-" 9701 "uORF" 23411719 3 1 "CAT"
"9702" "ENST00000382292.9" "chr13" 23411654 23411713 "-" 9702 "uORF" 23411713 3 -1.66666666666667 "CAT"
"9703" "ENST00000382292.9" "chr13" 23411562 23411657 "-" 9703 "uORF" 23411657 3 1.83333333333333 "CAT"
"9704" "ENST00000382292.9" "chr13" 23411562 23411576 "-" 9704 "uORF" 23411576 3 0.5 "CAT"
"9705" "ENST00000382292.9" "chr13" 23411444 23411497 "-" 9705 "uORF" 23411497 3 -0.166666666666667 "CAT"
"9706" "ENST00000382292.9" "chr13" 23411399 23411434 "-" 9706 "uORF" 23411434 3 0.166666666666667 "CAT"
"9707" "ENST00000382292.9" "chr13" 23411399 23411419 "-" 9707 "uORF" 23411419 3 2.66666666666667 "CAT"
"9708" "ENST00000382292.9" "chr13" 23411385 23411402 "-" 9708 "uORF" 23411402 3 0.833333333333333 "CAT"
"9709" "ENST00000382292.9" "chr13" 23411385 23411399 "-" 9709 "uORF" 23411399 3 1.5 "CAT"
"9710" "ENST00000382292.9" "chr13" 23411324 23411395 "-" 9710 "uORF" 23411395 3 -0.833333333333333 "CAT"
"9712" "ENST00000382333.2" "chr4" 15938416 15938708 "-" 9712 "uORF" 15938708 3 -1.66666666666667 "CAT"
"9734" "ENST00000382407.1" "chrY" 24047853 24047924 "-" 9734 "uORF" 24047924 3 -0.666666666666667 "CAT"
"9735" "ENST00000382407.1" "chrY" 24047882 24047917 "-" 9735 "uORF" 24047917 3 -0.166666666666667 "CAT"
"9736" "ENST00000382407.1" "chrY" 24047853 24047879 "-" 9736 "uORF" 24047879 3 -0.5 "CAT"
"9737" "ENST00000382407.1" "chrY" 24047853 24047861 "-" 9737 "uORF" 24047861 3 -1.16666666666667 "CAT"
"9738" "ENST00000382407.1" "chrY" 24047733 24047750 "-" 9738 "uORF" 24047750 3 0.333333333333333 "CAT"
"9740" "ENST00000382483.4" "chr8" 10654966 10655139 "-" 9740 "uORF" 10655139 3 0.166666666666667 "CAT"
"9742" "ENST00000382492.4" "chr5" 9630286 9630306 "-" 9742 "uORF" 9630306 3 0.166666666666667 "CAT"
"9743" "ENST00000382492.4" "chr5" 9630220 9630276 "-" 9743 "uORF" 9630276 3 2 "CAT"
"9744" "ENST00000382492.4" "chr5" 9630220 9630246 "-" 9744 "uORF" 9630246 3 0.333333333333333 "CAT"
"9745" "ENST00000382492.4" "chr5" 9630072 9630179 "-" 9745 "uORF" 9630179 3 0.333333333333333 "CAT"
"9746" "ENST00000382492.4" "chr5" 9630113 9630157 "-" 9746 "uORF" 9630157 3 0.166666666666667 "CAT"
"9747" "ENST00000382496.10" "chr5" 9437840 9545612 "-" 9747 "uORF" 9545612 3 0.5 "CAT"
"9748" "ENST00000382496.10" "chr5" 9379984 9380010 "-" 9748 "uORF" 9380010 3 4.33333333333333 "CAT"
"9749" "ENST00000382500.4" "chr9" 118304 118327 "-" 9749 "uORF" 118327 3 -0.5 "CAT"
"9757" "ENST00000382592.5" "chr13" 21061560 21061574 "-" 9757 "uORF" 21061574 3 1.66666666666667 "CAT"
"9758" "ENST00000382592.5" "chr13" 21061518 21061556 "-" 9758 "uORF" 21061556 3 2.33333333333333 "CAT"
"9759" "ENST00000382592.5" "chr13" 21061361 21061504 "-" 9759 "uORF" 21061504 3 1.16666666666667 "CAT"
"9760" "ENST00000382592.5" "chr13" 21046129 21046212 "-" 9760 "uORF" 21046212 3 2.66666666666667 "CAT"
"9761" "ENST00000382592.5" "chr13" 21046129 21046167 "-" 9761 "uORF" 21046167 3 0.5 "CAT"
